Date,Open,High,Low,Close,Volume
08/02/19,596.599976,605,590.950012,594.25,985430
11/02/19,593,597.75,580,585.049988,1106212
12/02/19,583,586.200012,566.450012,569,838047
14/02/19,563.700012,569.450012,554.5,566.599976,466611
15/02/19,565.200012,565.200012,550.099976,555.150024,570688
18/02/19,556,561.950012,551,554.849976,607985
19/02/19,556.549988,572.650024,556,566.049988,709418
20/02/19,569.549988,572,562.349976,565.049988,273104
21/02/19,569.450012,572.5,563.849976,565.849976,337895
22/02/19,563.5,569,558,564.799988,417784
25/02/19,567.799988,570.150024,562.049988,566.549988,568359
26/02/19,563,566.450012,556,558.049988,831737
27/02/19,560,564.5,550.400024,555.950012,599715
28/02/19,557.5,561.549988,554.650024,556.349976,862923
01/03/19,559.950012,568.400024,559,564.549988,1056040
05/03/19,566,582.5,565.150024,579.25,2496733
06/03/19,588,588,575.5,577,1336357
07/03/19,575,584.900024,569,580.5,2312088
08/03/19,589.950012,592,573,577.900024,1935478
11/03/19,580.099976,590,580,588.549988,1518962
12/03/19,594.400024,595,582,583.599976,1004491
13/03/19,583,589.099976,576.349976,578.599976,772363
14/03/19,580,584,569.049988,577.900024,843655
15/03/19,580,588.400024,576.650024,585.75,723120
18/03/19,586,597.950012,581.200012,589.75,1074693
19/03/19,596.900024,596.900024,587.25,591.849976,633086
20/03/19,592.900024,594.25,583.349976,585.299988,356036
22/03/19,585.950012,588,575.150024,581.150024,575026
25/03/19,580.700012,581.5,570.75,574.700012,502864
26/03/19,577.5,585,572.5,582.950012,574463
27/03/19,584.349976,585,577,583.5,975539
28/03/19,584,589.400024,578.200012,587.25,601657
01/04/19,593.950012,599,582.599976,584.099976,675754
02/04/19,583.150024,598.799988,583.150024,595.450012,784210
03/04/19,599.799988,603.900024,588.75,590.950012,957591
04/04/19,590.150024,608,588.200012,604.799988,1157381
05/04/19,609,612,601.299988,606.950012,939917
08/04/19,608.5,614,602,611.950012,825462
09/04/19,611.950012,612.25,604,608.599976,409881
10/04/19,605.150024,614.650024,600.650024,611.299988,634722
11/04/19,610,613.849976,603.75,605.700012,352027
12/04/19,603.150024,611,601.049988,607.400024,429029
15/04/19,607.549988,615.5,604.400024,610.75,329856
16/04/19,611.400024,619.400024,610,612.25,375355
18/04/19,612.25,612.25,590.700012,597.700012,720334
